arm,model,exam,battery,runs,valid,scored,dnf,denominator,mean_total,mean_pct,min,max
gitnexus,claude-opus-4-6,ZeroShotExam,memos-hard,10,10,10,0,20,16.90,84.5,16,18
gitnexus,claude-opus-4-8,MultiTurnExam,memos,10,10,10,0,30,29.80,99.3,29,30
gitnexus,claude-opus-4-8,MultiTurnExam,memos-hard,10,10,10,0,20,17.80,89.0,17,19
gitnexus,claude-opus-4-8,ZeroShotExam,memos,10,0,0,10,30,,,,0
gitnexus,claude-opus-4-8,ZeroShotExam,memos-hard,20,10,10,10,20,16.50,82.5,15,18
gitnexus,claude-opus-5,HumanExam,memos,10,10,10,0,30,29.90,99.7,29,30
gitnexus,claude-opus-5,HumanExam,memos-hard,10,10,10,0,20,18.60,93.0,18,20
gitnexus,claude-opus-5,MultiTurnExam,memos,10,10,10,0,30,29.80,99.3,29,30
gitnexus,claude-opus-5,MultiTurnExam,memos-hard,10,10,10,0,20,18.50,92.5,18,19
gitnexus,claude-opus-5,ZeroShotExam,memos,10,10,10,0,30,30.00,100.0,30,30
gitnexus,claude-opus-5,ZeroShotExam,memos-hard,10,10,10,0,20,18.80,94.0,17,20
gitnexus,claude-sonnet-5,MultiTurnExam,memos,10,10,10,0,30,29.30,97.7,29,30
gitnexus,claude-sonnet-5,MultiTurnExam,memos-hard,10,10,10,0,20,17.10,85.5,16,18
gitnexus,claude-sonnet-5,ZeroShotExam,memos,10,10,10,0,30,28.60,95.3,28,29
gitnexus,claude-sonnet-5,ZeroShotExam,memos-hard,10,10,10,0,20,16.50,82.5,15,18
graphify,claude-fable-5,HumanExam,memos-hard,5,5,5,0,20,16.80,84.0,16,19
graphify,claude-fable-5,MultiTurnExam,memos,5,5,5,0,30,29.80,99.3,29,30
graphify,claude-fable-5,MultiTurnExam,memos-hard,5,5,5,0,20,18.20,91.0,17,19
graphify,claude-fable-5,ZeroShotExam,memos,15,5,5,10,30,30.00,100.0,30,30
graphify,claude-fable-5,ZeroShotExam,memos-hard,5,0,0,5,20,,,,0
graphify,claude-haiku-4-5,MultiTurnExam,memos,8,8,8,0,30,28.88,96.2,27,30
graphify,claude-haiku-4-5,MultiTurnExam,memos-hard,8,8,8,0,20,14.62,73.1,12,17
graphify,claude-haiku-4-5,ZeroShotExam,memos,10,10,10,0,30,25.90,86.3,19,28
graphify,claude-haiku-4-5,ZeroShotExam,memos-hard,10,10,10,0,20,11.30,56.5,8,15
graphify,claude-opus-4-6,HumanExam,memos,10,10,10,0,30,28.90,96.3,28,30
graphify,claude-opus-4-6,HumanExam,memos-hard,10,10,10,0,20,17.00,85.0,16,18
graphify,claude-opus-4-6,MultiTurnExam,memos,10,10,10,0,30,28.80,96.0,28,30
graphify,claude-opus-4-6,MultiTurnExam,memos-hard,10,10,10,0,20,16.60,83.0,15,18
graphify,claude-opus-4-6,ZeroShotExam,memos,10,10,10,0,30,28.30,94.3,27,29
graphify,claude-opus-4-6,ZeroShotExam,memos-hard,10,10,10,0,20,16.60,83.0,15,18
graphify,claude-opus-4-8,MultiTurnExam,memos,10,10,10,0,30,30.00,100.0,30,30
graphify,claude-opus-4-8,MultiTurnExam,memos-hard,10,10,10,0,20,17.70,88.5,17,19
graphify,claude-opus-4-8,ZeroShotExam,memos,10,0,0,10,30,,,,0
graphify,claude-opus-4-8,ZeroShotExam,memos-hard,20,10,10,10,20,15.90,79.5,14,18
graphify,claude-opus-5,HumanExam,memos,10,10,10,0,30,30.00,100.0,30,30
graphify,claude-opus-5,HumanExam,memos-hard,10,10,10,0,20,18.80,94.0,18,20
graphify,claude-opus-5,MultiTurnExam,memos,10,10,10,0,30,29.70,99.0,29,30
graphify,claude-opus-5,MultiTurnExam,memos-hard,10,10,10,0,20,18.70,93.5,18,19
graphify,claude-opus-5,ZeroShotExam,memos,10,10,10,0,30,29.90,99.7,29,30
graphify,claude-opus-5,ZeroShotExam,memos-hard,10,10,10,0,20,19.20,96.0,18,20
graphify,claude-sonnet-5,MultiTurnExam,memos,10,10,10,0,30,29.80,99.3,29,30
graphify,claude-sonnet-5,MultiTurnExam,memos-hard,10,10,10,0,20,17.60,88.0,15,19
graphify,claude-sonnet-5,ZeroShotExam,memos,10,10,10,0,30,28.40,94.7,26,30
graphify,claude-sonnet-5,ZeroShotExam,memos-hard,10,10,10,0,20,16.50,82.5,15,19
serena,claude-fable-5,HumanExam,memos-hard,5,5,5,0,20,17.60,88.0,17,18
serena,claude-fable-5,MultiTurnExam,memos,5,5,5,0,30,30.00,100.0,30,30
